List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Green [Circle],85251-77-0,"Glycerides, C16-18 mono- and di-","Glycerides, C16-18 mono- and di-",,
Green [Circle],91744-32-0,"Glycerides, C8-10 mono-, di- and tri-",,,"*As of September 2019, this substance is not listed on the TSCA inventory."
Green [Circle],91052-13-0,"Glycerides, C8-18 and C18-unsatd. mono- and di-, acetates","Glycerides, C8-18 and C18-unsatd. mono- and di-, acetates",,"*As of September 2016, this substance is not listed on the TSCA inventory."
Green [Circle],736150-63-3,"Glycerides, castor-oil mono-, hydrogenated, acetates","Glycerides, castor-oil mono-, hydrogenated, acetates",,
Green [Circle],37220-82-9,Glycerine oleate,"9-Octadecenoic acid (9Z)-, ester with 1,2,3-propanetriol",,
Half Green [Circle],142-18-7,Glyceryl monolaurate,"Dodecanoic acid, 2,3-dihydroxypropyl ester",,
Green [Circle],111-03-5,Glyceryl monooleate,"9-Octadecenoic acid (9Z)-, 2,3-dihydroxypropyl ester",,
Green [Circle],25496-72-4,Glyceryl monooleate [NF],"9-Octadecenoic acid (9Z)-, monoester with 1,2,3-propanetriol",,
Green [Circle],123-94-4,Glyceryl monostearate,"Octadecanoic acid, 2,3-dihydroxypropyl ester",,
Green [Circle],31566-31-1,Glyceryl monostearate,"Octadecanoic acid, monoester with 1,2,3-propanetriol",,
Green [Circle],11099-07-3,Glyceryl stearates,"Octadecanoic acid, ester with 1,2,3-propanetriol",,
Green [Circle],68298-20-4,"Glycine, N-[2-(carboxymethoxy)ethyl]-N-[2-[(1-oxododecyl)amino]ethyl]-, disodium salt","Glycine, N-[2-(carboxymethoxy)ethyl]-N-[2-[(1-oxododecyl)amino]ethyl]-, sodium salt (1:2)",,
Green [Circle],68411-97-2,"Glycine, N-methyl-, N-coco acyl derivs.","Glycine, N-methyl-, N-coco acyl derivs.",,
Green [Circle],627-83-8,Glycol distearate,"Octadecanoic acid, 1,1'-(1,2-ethanediyl) ester",,
Green [Circle],506-12-7,Heptadecanoic acid,Heptadecanoic acid,,
Green [Circle],142-62-1,Hexanoic Acid,Hexanoic acid,,
Green [Circle],54549-24-5,Hexyl D-glucoside,"D-Glucopyranoside, hexyl",,
Green [Circle],31726-34-8,Hexyl poly(oxyethylene) ether,"Poly(oxy-1,2-ethanediyl), alpha-hexyl-omega-hydroxy-",,
Green [Circle],68604-71-7,"Imidazolium compounds, 1-[2-(2-carboxyethoxy)ethyl]-1(or 3)-(2-carboxyethyl)-4,5-dihydro-2-norcoco alkyl, hydroxides, disodium salts","Imidazolium compounds, 1-[2-(2-carboxyethoxy)ethyl]-1(or 3)-(2-carboxyethyl)-4,5-dihydro-2-norcoco alkyl, hydroxides, disodium salts",,
Green [Circle],68650-39-5,"Imidazolium compounds, 1-[2-(carboxymethoxy)ethyl]-1-(carboxymethyl)-4,5-dihydro-2-norcoco alkyl, inner salts, disodium salts","Imidazolium compounds, 1-[2-(carboxymethoxy)ethyl]-1-(carboxymethyl)-4,5-dihydro-2-norcoco alkyl, inner salts, disodium salts",,
Half Green [Circle],90170-45-9,"L-Alanine, N-coco acyl derivs., sodium salts",,,"*As of July 2021, this substance is not listed on the TSCA inventory."
Green [Circle],4292-10-8,Lauramidopropyl betaine,"1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3-[(1-oxododecyl)amino]-, inner salt",,
Green [Circle],61792-31-2,Lauramidopropylamine oxide,"Dodecanamide, N-[3-(dimethyloxidoamino)propyl]-",,
Green [Circle],33939-64-9,"Laureth-11 carboxylic acid, sodium salt","Poly(oxy-1,2-ethanediyl), .alpha.-(carboxymethyl)-.omega.-(dodecyloxy)-, sodium salt (1:1)",,
Green [Circle],27836-64-2,Lauryl glucoside,"D-Glucopyranoside, dodecyl",,"*As of April 2017, this substance is not listed on the TSCA inventory."
Green [Circle],13197-76-7,Lauryl hydroxysultaine,"1-Dodecanaminium, N-(2-hydroxy-3-sulfopropyl)-N,N-dimethyl-, inner salt",,
Green [Circle],683-10-3,Lauryldimethylbetaine,"1-Dodecanaminium, N-(carboxymethyl)-N,N-dimethyl-, inner salt",,
Green [Circle],8002-43-5,Lecithins,Lecithins,,
Green [Circle],557-59-5,Lignoceric acid,Lignoceric acid,,
Green [Circle],60-33-3,Linoleic acid,"9,12-Octadecadienoic acid (9Z,12Z)-",,
Green [Circle],463-40-1,Linolenic acid,Linolenic acid,,
Green [Circle],3097-08-3,Magnesium lauryl sulfate,"Sulfuric acid, monododecyl ester, magnesium salt (2:1)",,
Half Green [Circle],557-04-0,Magnesium stearate,"Octadecanoic acid, magnesium salt (2:1)",,
Green [Circle],67806-10-4,Myristamido propylamine oxide,"Tetradecanamide, N-[3-(dimethyloxidoamino)propyl]-",,
Green [Circle],59272-84-3,Myristamidopropyl betaine,"1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3-[(1-oxotetradecyl)amino]-, inner salt",,
Green [Circle],544-64-9,Myristoleic acid,Myristoleic acid,,
Green [Circle],27306-79-2,"Myristyl alcohol, ethoxylated","Poly(oxy-1,2-ethanediyl), alpha-tetradecyl-omega-hydroxy-",,
Green [Circle],2601-33-4,Myristyl betaine,"1-Tetradecanaminium, N-(carboxymethyl)-N,N-dimethyl-, inner salt",,
Half Green [Circle],68608-69-5,"N-(3-Alkyl(C12-C15)oxypropyl)-3-iminodipropionic acid, monosodium salt","beta-Alanine, N-(2-carboxyethyl)-, N-[3-(C12-15-alkyloxy)propyl] derivs., monosodium salts",,
Green [Circle],3332-27-2,"N,N-Dimethyl-1-tetradecanamine-N-oxide","1-Tetradecanamine, N,N-dimethyl-, N-oxide",,
Green [Circle],1643-20-5,"N,N-Dimethyldodecylamine oxide","1-Dodecanamine, N,N-dimethyl-, N-oxide",,
Green [Circle],27252-75-1,n-Octylpolyoxyethylene,"Poly(oxy-1,2-ethanediyl), alpha-octyl-omega-hydroxy-",,
Green [Circle],2687-94-7,N-Octylpyrrolidone,"2-Pyrrolidinone, 1-octyl-",,
Green [Circle],106-14-9,"Octadecanoic acid, 12-hydroxy-","Octadecanoic acid, 12-hydroxy-",,
