List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Green [Circle],27636-75-5,Sodium undecylbenzene sulfonate,"Benzenesulfonic acid, undecyl-, sodium salt (1:1)",,
Green [Circle],1300-72-7,Sodium xylene sulfonate,"Benzenesulfonic acid, dimethyl-, sodium salt (1:1)",,
Green [Circle],68154-36-9,Sorbitan cocoate,"Fatty acids, coco, monoesters with sorbitan",,
Green [Circle],1338-39-2,Sorbitan monolaurate,"Sorbitan, monododecanoate",,
Green [Circle],1338-43-8,Sorbitan monooleate,"Sorbitan, mono-(9Z)-9-octadecenoate",,
Green [Circle],26266-57-9,Sorbitan monopalmitate,"Sorbitan, monohexadecanoate",,
Green [Circle],1338-41-6,Sorbitan monostearate,"Sorbitan, monooctadecanoate",,
Green [Circle],1443994-56-6,Sorbitan oleate decylglucoside crosspolymer,"D-Glucopyranose, oligomeric, decyl octyl glycosides, polymers with epichlorohydrin and sorbitan monooleate",,
Green [Circle],8007-43-0,Sorbitan sesquioleate,"Sorbitan, (9Z)-9-octadecenoate (2:3)",,
Green [Circle],26266-58-0,Sorbitan trioleate,"Sorbitan, tri-(9Z)-9-octadecenoate",,
Green [Circle],9005-64-5,"Sorbitan, monododecanoate, poly(oxy-1,2-ethanediyl) derivs.","Sorbitan, monododecanoate, poly(oxy-1,2-ethanediyl) derivs.",,
Half Green [Circle],9005-66-7,"Sorbitan, monohexadecanoate, poly(oxy-1,2-ethanediyl) derivs.","Sorbitan, monohexadecanoate, poly(oxy-1,2-ethanediyl) derivs.",,
Green [Circle],9005-67-8,"Sorbitan, monooctadecanoate, poly(oxy-1,2-ethanediyl) derivs.","Sorbitan, monooctadecanoate, poly(oxy-1,2-ethanediyl) derivs.",,
Half Green [Circle],9005-71-4,"Sorbitan, trioctadecanoate, poly(oxy-1,2-ethanediyl) derivs.","Sorbitan, trioctadecanoate, poly(oxy-1,2-ethanediyl) derivs.",,
Green [Circle],68308-53-2,Soybean oil fatty acids,"Fatty acids, soya",,
Green [Circle],61790-16-7,"Soybean oil, sulfated, sodium salt","Soybean oil, sulfated, sodium salt",,
Green [Circle],57-11-4,Stearic acid,Octadecanoic acid,,
Green [Circle],68037-49-0,"Sulfonic acids, C10-18-alkane, sodium salts","Sulfonic acids, C10-18-alkane, sodium salts",,
Green [Circle],68439-57-6,"Sulfonic acids, C14-16-alkane hydroxy and C14-16-alkene, sodium salts","Sulfonic acids, C14-16-alkane hydroxy and C14-16-alkene, sodium salts",,
Green [Circle],68608-26-4,"Sulfonic acids, petroleum, sodium salts","Sulfonic acids, petroleum, sodium salts",,
Green [Circle],68081-96-9,"Sulfuric acid, mono-C10-16-alkyl esters, ammonium salts","Sulfuric acid, mono-C10-16-alkyl esters, ammonium salts",,
Green [Circle],68585-47-7,"Sulfuric acid, mono-C10-16-alkyl esters, sodium salts","Sulfuric acid, mono-C10-16-alkyl esters, sodium salts",,
Green [Circle],85586-07-8,"Sulfuric acid, mono-C12-14 alkyl esters, sodium salts","Sulfuric acid, mono-C12-14-alkyl esters, sodium salts",,"*As of March 2016, this substance is not listed on the TSCA inventory."
Green [Circle],68890-70-0,"Sulfuric acid, mono-C12-15-alkyl esters, sodium salts","Sulfuric acid, mono-C12-15-alkyl esters, sodium salts",,
Green [Circle],68955-19-1,"Sulfuric acid, mono-C12-18-alkyl esters, sodium salts","Sulfuric acid, mono-C12-18-alkyl esters, sodium salts",,
Green [Circle],68081-98-1,"Sulfuric acid, mono-C14-18-alkyl esters, sodium salts","Sulfuric acid, mono-C14-18-alkyl esters, sodium salts",,
Green [Circle],68955-20-4,"Sulfuric acid, mono-C16-18-alkyl esters, sodium salts","Sulfuric acid, mono-C16-18-alkyl esters, sodium salts",,
Green [Circle],97375-27-4,"Sulfuric acid, monococo alkyl esters, sodium salts","Sulfuric acid, monococo alkyl esters, sodium salts",,"*As of April 2020, this substance is not listed on the TSCA inventory."
Green [Circle],142-87-0,"Sulfuric acid, monodecyl ester, sodium salt (1:1)","Sulfuric acid, monodecyl ester, sodium salt (1:1)",,
Green [Circle],69669-39-2,"Sunflower oil, potassium salt","Sunflower oil, potassium salt",,
Green [Circle],544-63-8,Tetradecanoic acid,Tetradecanoic acid,,
Green [Circle],98283-67-1,Undecyl-D-glucoside,"D-Glucopyranoside, undecyl",,"*As of June 2016, this substance is not listed on the TSCA inventory."
